RecordType,Category,Amount,EmployeeRole,Shift,ContractType,Campaign,Service,ProjectedExpense,ActualExpense,CustomerType,FoodSegment,VisitDateTime
Marketing Spend,Advertising,2209.02,,,,Spring Promo,,,,Tourist,Snacks,3/21/2024
Fixed Cost,Rent,2218.73,,,,,,,,Tourist,Irish,03-05-2025
Variable Cost,Inventory Purchase,1301.73,,,,,,,,Tourist,Continental,11/26/2024
Projected vs Actual,Expense Monitoring,,,,,,,2455.35,1593.86,Tourist,Irish,03-09-2025
Fixed Cost,Utilities,2652.15,,,,,,,,First-timer,Wine,3/14/2024
Variable Cost,Marketing Campaign,8007.27,,,,,,,,Seldom,Irish,3/20/2024
Marketing Spend,Advertising,6863.8,,,,Christmas Special,,,,Regular,Snacks,2/15/2025
Projected vs Actual,Expense Monitoring,,,,,,,4145.12,4985.71,Regular,Irish,4/15/2024
Marketing Spend,Advertising,1071.05,,,,Summer Happy Hour,,,,Tourist,Irish,5/22/2024
Fixed Cost,Utilities,1510.77,,,,,,,,Seldom,Snacks,05-12-2024
Fixed Cost,Insurance,2975.41,,,,,,,,Tourist,Snacks,11-07-2024
Variable Cost,Inventory Purchase,1720.47,,,,,,,,Tourist,Irish,7/21/2024
Marketing Spend,Advertising,6512.56,,,,Summer Happy Hour,,,,First-timer,Wine,12/13/2024
Marketing Spend,Advertising,3573.13,,,,New Menu Launch,,,,Regular,Continental,8/13/2024
Fixed Cost,Rent,1786.58,,,,,,,,First-timer,Wine,7/21/2024
Projected vs Actual,Expense Monitoring,,,,,,,6960.27,7653.3,Seldom,Continental,1/31/2025
Fixed Cost,Insurance,1635.08,,,,,,,,Seldom,Continental,6/28/2024
Tech Fee,Tech Services,257.24,,,,,Website Hosting,,,First-timer,Snacks,11/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,5963.68,6516.570000000001,Tourist,Continental,4/17/2024
Marketing Spend,Advertising,1406.52,,,,New Menu Launch,,,,First-timer,Snacks,5/31/2024
Projected vs Actual,Expense Monitoring,,,,,,,6148.91,5687.57,Regular,Snacks,8/24/2024
Marketing Spend,Advertising,5150.04,,,,Spring Promo,,,,First-timer,Wine,07-08-2024
Variable Cost,Inventory Purchase,6884.45,,,,,,,,Regular,Wine,1/13/2025
Marketing Spend,Advertising,6762.88,,,,Christmas Special,,,,First-timer,Snacks,11-01-2024
Employee Salary,Payroll,3168.95,Manager,Morning,Part-time,,,,,Seldom,Wine,3/26/2024
Tech Fee,Tech Services,278.76,,,,,CRM Platform,,,First-timer,Snacks,10-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,4737.66,5115.43,Seldom,Irish,10/20/2024
Marketing Spend,Advertising,6164.54,,,,Christmas Special,,,,Tourist,Wine,12-06-2024
Tech Fee,Tech Services,122.38,,,,,CRM Platform,,,Tourist,Continental,7/17/2024
Variable Cost,Marketing Campaign,8136.35,,,,,,,,Regular,Snacks,12-12-2024
Marketing Spend,Advertising,6193.87,,,,Spring Promo,,,,Tourist,Wine,07-08-2024
Marketing Spend,Advertising,1518.89,,,,New Menu Launch,,,,Tourist,Wine,12/14/2024
Variable Cost,Marketing Campaign,2119.95,,,,,,,,Seldom,Wine,09-04-2024
Variable Cost,Inventory Purchase,7357.41,,,,,,,,Seldom,Wine,5/25/2024
Employee Salary,Payroll,2501.04,Bartender,Evening,Full-time,,,,,Regular,Snacks,2/15/2025
Fixed Cost,Utilities,4316.22,,,,,,,,Seldom,Wine,9/16/2024
Variable Cost,Marketing Campaign,8343.54,,,,,,,,First-timer,Continental,10/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,2018.6,2934.75,Regular,Irish,01-03-2025
Fixed Cost,Insurance,3903.19,,,,,,,,Tourist,Irish,5/22/2024
Projected vs Actual,Expense Monitoring,,,,,,,7074.88,8067.55,Tourist,Wine,4/16/2024
Marketing Spend,Advertising,3250.55,,,,Christmas Special,,,,Regular,Continental,5/16/2024
Marketing Spend,Advertising,6226.13,,,,Summer Happy Hour,,,,Seldom,Irish,06-10-2024
Employee Salary,Payroll,2650.49,Server,Morning,Part-time,,,,,First-timer,Irish,02-03-2025
Tech Fee,Tech Services,328.82,,,,,Website Hosting,,,Seldom,Snacks,6/17/2024
Marketing Spend,Advertising,5600.54,,,,New Menu Launch,,,,Seldom,Wine,04-03-2024
Marketing Spend,Advertising,4199.78,,,,Spring Promo,,,,Regular,Continental,01-03-2025
Marketing Spend,Advertising,4567.81,,,,Spring Promo,,,,Seldom,Snacks,03-04-2025
Tech Fee,Tech Services,151.45,,,,,Website Hosting,,,Tourist,Continental,2/22/2025
Marketing Spend,Advertising,559.07,,,,New Menu Launch,,,,First-timer,Wine,5/18/2024
Variable Cost,Marketing Campaign,8069.39,,,,,,,,First-timer,Wine,8/28/2024
Marketing Spend,Advertising,2390.33,,,,New Menu Launch,,,,Regular,Continental,4/28/2024
Projected vs Actual,Expense Monitoring,,,,,,,1617.5,2008.33,Seldom,Snacks,6/17/2024
Marketing Spend,Advertising,6877.39,,,,Summer Happy Hour,,,,Tourist,Snacks,9/16/2024
Tech Fee,Tech Services,421.31,,,,,CRM Platform,,,First-timer,Irish,5/22/2024
Employee Salary,Payroll,3942.02,Cleaner,Evening,Contract,,,,,First-timer,Wine,7/29/2024
Fixed Cost,Utilities,2171.4,,,,,,,,First-timer,Irish,11/24/2024
Fixed Cost,Insurance,4106.15,,,,,,,,Seldom,Irish,03-10-2025
Employee Salary,Payroll,1693.92,Chef,Evening,Full-time,,,,,Regular,Continental,06-09-2024
Projected vs Actual,Expense Monitoring,,,,,,,5271.33,5842.63,First-timer,Continental,03-08-2025
Employee Salary,Payroll,3287.49,Manager,Night,Contract,,,,,Tourist,Wine,01-04-2025
Tech Fee,Tech Services,304.5,,,,,CRM Platform,,,Tourist,Wine,8/26/2024
Variable Cost,Marketing Campaign,1736.41,,,,,,,,Tourist,Irish,09-10-2024
Employee Salary,Payroll,3345.92,Chef,Evening,Part-time,,,,,Tourist,Irish,11-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,4385.59,3983.04,First-timer,Irish,8/13/2024
Tech Fee,Tech Services,166.68,,,,,CRM Platform,,,Regular,Wine,8/13/2024
Projected vs Actual,Expense Monitoring,,,,,,,2191.56,1945.39,Tourist,Snacks,7/16/2024
Tech Fee,Tech Services,411.19,,,,,Website Hosting,,,Seldom,Snacks,5/13/2024
Variable Cost,Marketing Campaign,4881.39,,,,,,,,Seldom,Irish,07-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,5233.78,4333.46,First-timer,Irish,12/20/2024
Variable Cost,Inventory Purchase,4424.82,,,,,,,,Seldom,Irish,12/17/2024
Fixed Cost,Utilities,757.76,,,,,,,,Seldom,Snacks,5/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,5076.69,4347.4,Regular,Continental,09-04-2024
Marketing Spend,Advertising,3410.01,,,,New Menu Launch,,,,Regular,Irish,12-07-2024
Tech Fee,Tech Services,177.24,,,,,Website Hosting,,,Seldom,Wine,9/16/2024
Variable Cost,Marketing Campaign,459.25,,,,,,,,Regular,Continental,3/19/2024
Employee Salary,Payroll,2087.8,Manager,Evening,Part-time,,,,,Tourist,Irish,4/26/2024
Projected vs Actual,Expense Monitoring,,,,,,,3716.65,4406.2300000000005,Regular,Wine,5/30/2024
Projected vs Actual,Expense Monitoring,,,,,,,990.25,965.39,Regular,Snacks,07-07-2024
Employee Salary,Payroll,3247.97,Manager,Evening,Part-time,,,,,Regular,Snacks,1/15/2025
Tech Fee,Tech Services,191.84,,,,,Website Hosting,,,Regular,Irish,10-08-2024
Employee Salary,Payroll,4528.54,Server,Night,Contract,,,,,First-timer,Continental,09-01-2024
Tech Fee,Tech Services,422.54,,,,,Website Hosting,,,Regular,Continental,09-04-2024
Projected vs Actual,Expense Monitoring,,,,,,,5981.16,6943.75,Tourist,Wine,1/21/2025
Variable Cost,Inventory Purchase,6576.33,,,,,,,,First-timer,Snacks,5/26/2024
Variable Cost,Inventory Purchase,5696.77,,,,,,,,Tourist,Snacks,1/17/2025
Employee Salary,Payroll,3434.11,Bartender,Morning,Full-time,,,,,Seldom,Irish,08-04-2024
Fixed Cost,Rent,1013.43,,,,,,,,First-timer,Snacks,1/17/2025
Variable Cost,Inventory Purchase,2330.64,,,,,,,,First-timer,Continental,9/30/2024
Variable Cost,Inventory Purchase,8521.1,,,,,,,,First-timer,Snacks,02-12-2025
Fixed Cost,Rent,4912.33,,,,,,,,Tourist,Continental,8/23/2024
Tech Fee,Tech Services,231.79,,,,,Website Hosting,,,Tourist,Continental,5/16/2024
Employee Salary,Payroll,3195.35,Chef,Night,Part-time,,,,,Tourist,Wine,07-11-2024
Variable Cost,Marketing Campaign,2338.86,,,,,,,,Seldom,Irish,7/28/2024
Variable Cost,Inventory Purchase,4343.44,,,,,,,,Tourist,Continental,4/16/2024
Tech Fee,Tech Services,348.88,,,,,Website Hosting,,,Regular,Wine,12-01-2024
Fixed Cost,Utilities,939.03,,,,,,,,Regular,Wine,06-08-2024
Employee Salary,Payroll,2162.35,Cleaner,Night,Part-time,,,,,Tourist,Continental,8/15/2024
Projected vs Actual,Expense Monitoring,,,,,,,6548.03,6466.509999999999,First-timer,Continental,01-03-2025
Employee Salary,Payroll,1658.83,Chef,Night,Full-time,,,,,First-timer,Irish,7/19/2024
Marketing Spend,Advertising,5327.93,,,,Summer Happy Hour,,,,Regular,Snacks,3/19/2024
Tech Fee,Tech Services,445.81,,,,,CRM Platform,,,Regular,Snacks,12-03-2024
Marketing Spend,Advertising,1823.81,,,,Summer Happy Hour,,,,Regular,Wine,2/26/2025
Fixed Cost,Utilities,3878.28,,,,,,,,Tourist,Snacks,07-04-2024
Fixed Cost,Insurance,2986.31,,,,,,,,Tourist,Irish,03-02-2025
Projected vs Actual,Expense Monitoring,,,,,,,3077.47,2642.33,Seldom,Snacks,6/22/2024
Variable Cost,Marketing Campaign,8003.61,,,,,,,,First-timer,Snacks,3/31/2024
Marketing Spend,Advertising,5790.3,,,,Christmas Special,,,,First-timer,Irish,7/30/2024
Variable Cost,Inventory Purchase,7778.56,,,,,,,,Regular,Irish,05-07-2024
Employee Salary,Payroll,3310.37,Bartender,Evening,Full-time,,,,,Regular,Snacks,12-06-2024
Tech Fee,Tech Services,409.06,,,,,Website Hosting,,,Seldom,Irish,11/14/2024
Projected vs Actual,Expense Monitoring,,,,,,,4497.72,3813.63,First-timer,Wine,11/15/2024
Marketing Spend,Advertising,5594.18,,,,Summer Happy Hour,,,,Regular,Continental,1/28/2025
Employee Salary,Payroll,2107.62,Cleaner,Night,Contract,,,,,Regular,Snacks,7/26/2024
Projected vs Actual,Expense Monitoring,,,,,,,1555.34,959.37,First-timer,Wine,1/24/2025
Tech Fee,Tech Services,344.43,,,,,Website Hosting,,,Regular,Snacks,5/26/2024
Employee Salary,Payroll,4871.02,Cleaner,Evening,Part-time,,,,,Regular,Continental,2/24/2025
Employee Salary,Payroll,2278.67,Chef,Night,Part-time,,,,,Seldom,Irish,11/20/2024
Fixed Cost,Insurance,2684.12,,,,,,,,Seldom,Snacks,05-12-2024
Tech Fee,Tech Services,376.33,,,,,CRM Platform,,,Seldom,Wine,1/30/2025
Variable Cost,Marketing Campaign,9971.07,,,,,,,,Regular,Wine,8/19/2024
Variable Cost,Inventory Purchase,6595.73,,,,,,,,First-timer,Wine,04-02-2024
Employee Salary,Payroll,3109.6,Cleaner,Morning,Contract,,,,,Regular,Wine,5/18/2024
Fixed Cost,Utilities,1443.89,,,,,,,,Seldom,Irish,8/24/2024
Projected vs Actual,Expense Monitoring,,,,,,,5986.22,5361.04,Seldom,Continental,11/20/2024
Tech Fee,Tech Services,418.58,,,,,CRM Platform,,,Seldom,Irish,11/14/2024
Variable Cost,Marketing Campaign,7131.4,,,,,,,,First-timer,Irish,10/22/2024
Marketing Spend,Advertising,3403.94,,,,Spring Promo,,,,Tourist,Continental,02-02-2025
Marketing Spend,Advertising,2335.61,,,,New Menu Launch,,,,First-timer,Snacks,3/25/2024
Variable Cost,Marketing Campaign,8299.67,,,,,,,,First-timer,Continental,9/22/2024
Marketing Spend,Advertising,1381.58,,,,Summer Happy Hour,,,,Seldom,Continental,1/31/2025
Tech Fee,Tech Services,421.69,,,,,Website Hosting,,,Seldom,Irish,1/16/2025
Projected vs Actual,Expense Monitoring,,,,,,,5893.08,5733.32,First-timer,Irish,9/29/2024
Variable Cost,Inventory Purchase,7422.75,,,,,,,,Seldom,Wine,02-04-2025
Variable Cost,Marketing Campaign,6176.4,,,,,,,,Regular,Wine,06-08-2024
Projected vs Actual,Expense Monitoring,,,,,,,6035.52,6647.910000000001,Regular,Continental,12-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,7843.29,8111.57,First-timer,Continental,8/17/2024
Marketing Spend,Advertising,4798.01,,,,Spring Promo,,,,Regular,Irish,10-04-2024
Variable Cost,Inventory Purchase,6894.64,,,,,,,,First-timer,Continental,11-07-2024
Marketing Spend,Advertising,1389.19,,,,Christmas Special,,,,First-timer,Snacks,10/29/2024
Fixed Cost,Rent,4266.69,,,,,,,,First-timer,Continental,09-01-2024
Employee Salary,Payroll,1862.12,Manager,Evening,Full-time,,,,,Tourist,Snacks,2/23/2025
Tech Fee,Tech Services,393.42,,,,,CRM Platform,,,Regular,Irish,11-07-2024
Tech Fee,Tech Services,391.66,,,,,Website Hosting,,,Regular,Continental,02-01-2025
Marketing Spend,Advertising,1782.79,,,,New Menu Launch,,,,Seldom,Continental,4/16/2024
Fixed Cost,Insurance,765.92,,,,,,,,Seldom,Continental,5/18/2024
Variable Cost,Inventory Purchase,9081.23,,,,,,,,First-timer,Snacks,3/27/2024
Employee Salary,Payroll,1443.96,Bartender,Night,Contract,,,,,First-timer,Wine,8/28/2024
Projected vs Actual,Expense Monitoring,,,,,,,3952.69,4681.82,Regular,Snacks,1/15/2025
Projected vs Actual,Expense Monitoring,,,,,,,3353.0,4306.6,Seldom,Irish,7/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,4093.03,3129.03,Tourist,Continental,06-05-2024
Projected vs Actual,Expense Monitoring,,,,,,,7385.57,6945.639999999999,Regular,Irish,02-09-2025
Fixed Cost,Insurance,4877.49,,,,,,,,Seldom,Irish,02-11-2025
Employee Salary,Payroll,4357.84,Server,Night,Full-time,,,,,Regular,Continental,10/20/2024
Tech Fee,Tech Services,329.61,,,,,CRM Platform,,,Regular,Snacks,2/15/2025
Fixed Cost,Insurance,3327.07,,,,,,,,Seldom,Wine,5/25/2024
Fixed Cost,Insurance,4427.39,,,,,,,,Regular,Snacks,12/31/2024
Projected vs Actual,Expense Monitoring,,,,,,,2138.32,1378.8100000000002,Seldom,Irish,4/13/2024
Marketing Spend,Advertising,1990.55,,,,New Menu Launch,,,,Regular,Snacks,3/28/2024
Fixed Cost,Rent,2609.46,,,,,,,,Tourist,Snacks,11/27/2024
Fixed Cost,Utilities,3192.61,,,,,,,,Tourist,Continental,1/14/2025
Employee Salary,Payroll,3972.77,Chef,Night,Part-time,,,,,First-timer,Wine,11/13/2024
Marketing Spend,Advertising,6339.69,,,,Christmas Special,,,,Tourist,Wine,1/31/2025
Variable Cost,Inventory Purchase,3371.04,,,,,,,,Tourist,Continental,11/26/2024
Projected vs Actual,Expense Monitoring,,,,,,,7192.27,6562.93,Tourist,Continental,05-05-2024
Tech Fee,Tech Services,407.56,,,,,Website Hosting,,,Regular,Irish,3/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,3718.87,3254.42,Seldom,Continental,12-01-2024
Projected vs Actual,Expense Monitoring,,,,,,,6917.72,6960.610000000001,Seldom,Snacks,8/28/2024
Tech Fee,Tech Services,424.12,,,,,Website Hosting,,,Tourist,Irish,9/29/2024
Employee Salary,Payroll,1375.43,Manager,Morning,Full-time,,,,,Tourist,Irish,7/13/2024
Tech Fee,Tech Services,351.14,,,,,CRM Platform,,,Seldom,Snacks,08-10-2024
Fixed Cost,Utilities,4455.41,,,,,,,,Regular,Irish,1/26/2025
Fixed Cost,Rent,3625.03,,,,,,,,Regular,Wine,01-04-2025
Marketing Spend,Advertising,3155.25,,,,Summer Happy Hour,,,,Regular,Snacks,6/14/2024
Fixed Cost,Insurance,4516.35,,,,,,,,Seldom,Continental,12/31/2024
Tech Fee,Tech Services,323.19,,,,,Website Hosting,,,First-timer,Continental,06-08-2024
Employee Salary,Payroll,3558.42,Manager,Morning,Full-time,,,,,First-timer,Wine,07-10-2024
Marketing Spend,Advertising,1792.45,,,,New Menu Launch,,,,Tourist,Snacks,8/22/2024
Marketing Spend,Advertising,6801.21,,,,Spring Promo,,,,Tourist,Irish,9/25/2024
Marketing Spend,Advertising,2046.67,,,,Summer Happy Hour,,,,Regular,Snacks,7/23/2024
Employee Salary,Payroll,2627.89,Chef,Morning,Contract,,,,,Tourist,Wine,6/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,2407.94,2131.65,Seldom,Irish,6/27/2024
Marketing Spend,Advertising,510.41,,,,Summer Happy Hour,,,,Regular,Irish,10-09-2024
Employee Salary,Payroll,2801.86,Manager,Evening,Full-time,,,,,Seldom,Continental,1/17/2025
Tech Fee,Tech Services,330.13,,,,,CRM Platform,,,Regular,Snacks,02-09-2025
Projected vs Actual,Expense Monitoring,,,,,,,5080.85,4642.22,Regular,Wine,6/22/2024
Fixed Cost,Rent,2916.53,,,,,,,,Seldom,Continental,1/31/2025
Fixed Cost,Utilities,722.74,,,,,,,,Seldom,Continental,6/16/2024
Employee Salary,Payroll,2851.41,Manager,Morning,Part-time,,,,,Regular,Continental,3/19/2024
Tech Fee,Tech Services,148.33,,,,,CRM Platform,,,First-timer,Snacks,02-02-2025
Variable Cost,Inventory Purchase,539.44,,,,,,,,Seldom,Snacks,8/23/2024
Fixed Cost,Rent,4175.07,,,,,,,,Regular,Wine,11/28/2024
Fixed Cost,Rent,4181.93,,,,,,,,Tourist,Continental,10-07-2024
Tech Fee,Tech Services,445.94,,,,,CRM Platform,,,Seldom,Snacks,05-12-2024
Fixed Cost,Insurance,2720.96,,,,,,,,Regular,Snacks,12-03-2024
Employee Salary,Payroll,4717.71,Bartender,Night,Full-time,,,,,Regular,Irish,12-07-2024
Tech Fee,Tech Services,225.44,,,,,CRM Platform,,,Regular,Snacks,2/18/2025
Employee Salary,Payroll,2032.69,Manager,Morning,Full-time,,,,,First-timer,Snacks,5/31/2024
Tech Fee,Tech Services,183.53,,,,,Website Hosting,,,Tourist,Wine,09-06-2024
Variable Cost,Inventory Purchase,9544.93,,,,,,,,Seldom,Wine,4/30/2024
Tech Fee,Tech Services,438.3,,,,,Website Hosting,,,Tourist,Snacks,12-11-2024
Projected vs Actual,Expense Monitoring,,,,,,,883.52,398.73,First-timer,Wine,10/22/2024
Fixed Cost,Insurance,4422.19,,,,,,,,Tourist,Irish,3/15/2024
Variable Cost,Marketing Campaign,6686.39,,,,,,,,Regular,Irish,05-07-2024
Fixed Cost,Insurance,3481.99,,,,,,,,Tourist,Snacks,1/21/2025
Tech Fee,Tech Services,318.34,,,,,CRM Platform,,,Seldom,Wine,6/21/2024
Marketing Spend,Advertising,682.85,,,,Spring Promo,,,,First-timer,Irish,09-06-2024
Variable Cost,Inventory Purchase,3612.24,,,,,,,,Seldom,Wine,11/23/2024
Variable Cost,Inventory Purchase,6496.35,,,,,,,,Tourist,Wine,5/18/2024
Variable Cost,Marketing Campaign,8891.59,,,,,,,,Regular,Continental,03-12-2024
Tech Fee,Tech Services,275.97,,,,,Website Hosting,,,Regular,Continental,08-03-2024
Employee Salary,Payroll,4494.79,Chef,Morning,Contract,,,,,Seldom,Irish,3/13/2024
Marketing Spend,Advertising,1019.8,,,,Summer Happy Hour,,,,Regular,Snacks,11-12-2024
Variable Cost,Inventory Purchase,757.79,,,,,,,,Tourist,Continental,01-04-2025
Projected vs Actual,Expense Monitoring,,,,,,,1566.03,589.4399999999999,Regular,Continental,02-01-2025
Projected vs Actual,Expense Monitoring,,,,,,,4493.7,4391.41,Regular,Continental,05-02-2024
Tech Fee,Tech Services,69.68,,,,,CRM Platform,,,First-timer,Wine,1/23/2025
Tech Fee,Tech Services,301.39,,,,,Website Hosting,,,Tourist,Continental,5/31/2024
Fixed Cost,Insurance,4175.25,,,,,,,,First-timer,Wine,11-01-2024
Projected vs Actual,Expense Monitoring,,,,,,,6842.03,7227.019999999999,First-timer,Snacks,05-08-2024
Variable Cost,Marketing Campaign,6762.37,,,,,,,,First-timer,Irish,4/16/2024
Fixed Cost,Rent,4377.84,,,,,,,,Regular,Snacks,3/19/2024
Projected vs Actual,Expense Monitoring,,,,,,,3848.15,4444.91,Tourist,Continental,12-06-2024
Employee Salary,Payroll,2723.94,Bartender,Night,Full-time,,,,,First-timer,Irish,07-10-2024
Employee Salary,Payroll,1109.68,Server,Night,Full-time,,,,,Seldom,Snacks,08-10-2024
Marketing Spend,Advertising,3775.53,,,,Spring Promo,,,,Tourist,Irish,4/26/2024
Variable Cost,Marketing Campaign,1739.72,,,,,,,,Tourist,Snacks,11/27/2024
Marketing Spend,Advertising,6252.66,,,,Spring Promo,,,,Seldom,Wine,6/15/2024
Fixed Cost,Insurance,1195.07,,,,,,,,Regular,Irish,4/15/2024
Tech Fee,Tech Services,340.62,,,,,Website Hosting,,,Seldom,Wine,10-07-2024
Marketing Spend,Advertising,2516.11,,,,Christmas Special,,,,First-timer,Snacks,1/21/2025
Employee Salary,Payroll,3708.48,Bartender,Morning,Full-time,,,,,First-timer,Snacks,10-12-2024
Tech Fee,Tech Services,214.07,,,,,Website Hosting,,,Tourist,Continental,10-07-2024
Marketing Spend,Advertising,6918.64,,,,New Menu Launch,,,,Seldom,Continental,06-09-2024
Fixed Cost,Insurance,3597.23,,,,,,,,Tourist,Wine,11-10-2024
Tech Fee,Tech Services,268.52,,,,,Website Hosting,,,Tourist,Irish,03-02-2025
Employee Salary,Payroll,2536.83,Bartender,Night,Full-time,,,,,Tourist,Wine,6/15/2024
Employee Salary,Payroll,2581.74,Bartender,Night,Part-time,,,,,First-timer,Continental,2/15/2025
Projected vs Actual,Expense Monitoring,,,,,,,6171.6,6088.650000000001,Tourist,Irish,11-12-2024
Projected vs Actual,Expense Monitoring,,,,,,,1475.36,2146.32,Regular,Irish,01-11-2025
Tech Fee,Tech Services,218.66,,,,,Website Hosting,,,Seldom,Wine,4/29/2024
Employee Salary,Payroll,4936.05,Manager,Evening,Full-time,,,,,Seldom,Irish,9/18/2024
Tech Fee,Tech Services,482.51,,,,,CRM Platform,,,Seldom,Irish,06-03-2024
Marketing Spend,Advertising,2821.48,,,,Spring Promo,,,,Tourist,Wine,12/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,4560.56,3868.85,Tourist,Wine,7/25/2024
Fixed Cost,Rent,2937.67,,,,,,,,Regular,Wine,12/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,2351.81,3028.91,First-timer,Continental,10/25/2024
Employee Salary,Payroll,1778.5,Server,Evening,Full-time,,,,,First-timer,Continental,5/26/2024
Fixed Cost,Rent,2041.02,,,,,,,,First-timer,Snacks,10/27/2024
Marketing Spend,Advertising,6771.64,,,,Spring Promo,,,,First-timer,Snacks,12/19/2024
Marketing Spend,Advertising,1323.65,,,,Christmas Special,,,,Seldom,Wine,1/30/2025
Tech Fee,Tech Services,117.73,,,,,CRM Platform,,,Regular,Snacks,06-03-2024
Variable Cost,Inventory Purchase,2152.36,,,,,,,,Seldom,Snacks,11/26/2024
Tech Fee,Tech Services,380.56,,,,,CRM Platform,,,Seldom,Snacks,3/31/2024
Variable Cost,Marketing Campaign,3325.65,,,,,,,,Tourist,Irish,11-01-2024
Variable Cost,Inventory Purchase,2092.99,,,,,,,,First-timer,Wine,12/30/2024
Tech Fee,Tech Services,67.76,,,,,Website Hosting,,,Regular,Wine,8/19/2024
Fixed Cost,Rent,2943.61,,,,,,,,Regular,Irish,09-05-2024
Employee Salary,Payroll,3888.57,Bartender,Morning,Part-time,,,,,First-timer,Continental,11/25/2024
Tech Fee,Tech Services,441.49,,,,,CRM Platform,,,First-timer,Irish,3/16/2024
Tech Fee,Tech Services,405.73,,,,,Website Hosting,,,Regular,Irish,07-10-2024
Marketing Spend,Advertising,5600.63,,,,Spring Promo,,,,Tourist,Irish,2/21/2025
Marketing Spend,Advertising,6164.22,,,,Spring Promo,,,,First-timer,Continental,4/27/2024
Marketing Spend,Advertising,1211.81,,,,Summer Happy Hour,,,,Regular,Irish,02-04-2025
Employee Salary,Payroll,2209.79,Server,Evening,Contract,,,,,First-timer,Wine,02-11-2025
Marketing Spend,Advertising,3752.62,,,,Summer Happy Hour,,,,Seldom,Wine,4/18/2024
Projected vs Actual,Expense Monitoring,,,,,,,6213.49,5986.57,Regular,Snacks,6/16/2024
Employee Salary,Payroll,3902.87,Chef,Night,Part-time,,,,,Regular,Irish,01-11-2025
Tech Fee,Tech Services,255.19,,,,,Website Hosting,,,Tourist,Continental,7/17/2024
Marketing Spend,Advertising,4294.4,,,,Christmas Special,,,,Seldom,Continental,03-06-2025
Marketing Spend,Advertising,6701.12,,,,Christmas Special,,,,Tourist,Snacks,9/19/2024
Fixed Cost,Rent,2476.17,,,,,,,,First-timer,Wine,7/29/2024
Fixed Cost,Rent,4518.91,,,,,,,,First-timer,Snacks,09-02-2024
Employee Salary,Payroll,3041.73,Bartender,Night,Full-time,,,,,Tourist,Snacks,8/16/2024
Projected vs Actual,Expense Monitoring,,,,,,,2155.59,2623.65,First-timer,Wine,09-02-2024
Variable Cost,Marketing Campaign,9299.65,,,,,,,,Regular,Wine,4/20/2024
Projected vs Actual,Expense Monitoring,,,,,,,5920.3,6305.360000000001,Regular,Snacks,8/15/2024
Variable Cost,Marketing Campaign,3064.02,,,,,,,,Seldom,Irish,10-11-2024
Marketing Spend,Advertising,2467.17,,,,Summer Happy Hour,,,,Tourist,Snacks,1/22/2025
Employee Salary,Payroll,4962.18,Chef,Evening,Contract,,,,,First-timer,Snacks,5/31/2024
Variable Cost,Marketing Campaign,9947.02,,,,,,,,First-timer,Wine,12/26/2024
Projected vs Actual,Expense Monitoring,,,,,,,607.36,1083.1,Regular,Wine,4/15/2024
Fixed Cost,Rent,3832.14,,,,,,,,Tourist,Snacks,3/14/2024
Tech Fee,Tech Services,389.04,,,,,CRM Platform,,,Regular,Irish,2/19/2025
Tech Fee,Tech Services,346.34,,,,,Website Hosting,,,Tourist,Continental,10/25/2024
Fixed Cost,Insurance,3261.22,,,,,,,,Tourist,Wine,07-11-2024
Fixed Cost,Utilities,849.42,,,,,,,,Tourist,Wine,09-06-2024
Marketing Spend,Advertising,366.59,,,,Summer Happy Hour,,,,Tourist,Continental,04-04-2024
Employee Salary,Payroll,4232.94,Bartender,Night,Part-time,,,,,Seldom,Wine,7/26/2024
Tech Fee,Tech Services,82.54,,,,,Website Hosting,,,First-timer,Wine,9/25/2024
Tech Fee,Tech Services,285.16,,,,,CRM Platform,,,Tourist,Continental,01-07-2025
Variable Cost,Marketing Campaign,1218.02,,,,,,,,Seldom,Wine,1/30/2025
Variable Cost,Marketing Campaign,2498.09,,,,,,,,Seldom,Continental,10/27/2024
Projected vs Actual,Expense Monitoring,,,,,,,876.7,22.5,Tourist,Continental,04-09-2024
Tech Fee,Tech Services,182.88,,,,,Website Hosting,,,Tourist,Irish,01-01-2025
Marketing Spend,Advertising,2110.83,,,,Summer Happy Hour,,,,Regular,Wine,6/13/2024
Projected vs Actual,Expense Monitoring,,,,,,,1642.47,1174.81,First-timer,Wine,11/13/2024
Projected vs Actual,Expense Monitoring,,,,,,,2911.22,2864.09,First-timer,Snacks,10/14/2024
Fixed Cost,Rent,3382.14,,,,,,,,Seldom,Snacks,9/25/2024
Tech Fee,Tech Services,321.57,,,,,CRM Platform,,,Seldom,Continental,07-04-2024
