InventoryItem,Category,StockLevel,UsagePerDay,ExpiryInDays,SpoilageRate,Supplier,SupplierLocation,OrganicOrLocal,CostPerUnit,DeliveryTimeDays,OrderFrequencyDays,LeadTimeDays,CustomerOrderTrend,WasteUnits
Spicy Wedges,Food ,344,12,16,0.03,Claddagh Provisions,Galway,Yes,4.73,2,14,5,270,10
Spicy Wedges,Food ,157,19,10,0.09,Green Isle Distributors,Dublin,No,16.23,4,14,9,265,8
Margherita Pizza,Food ,96,3,7,0.02,Green Isle Distributors,Dublin,No,15.64,4,3,5,194,1
Guinness,Beverages,395,22,28,0.04,Emerald Foods Ltd,Cork,Yes,3.36,3,3,3,265,1
Kilkenny,Beverages,237,7,4,0.03,Claddagh Provisions,Galway,Yes,14.08,6,14,2,155,0
Sweet Potato Fries,Food ,77,8,16,0.12,Green Isle Distributors,Dublin,No,8.55,2,7,2,29,2
Sauvignon Blanc,Beverages,271,23,20,0.15,Green Isle Distributors,Dublin,No,10.93,1,7,6,79,12
Truffle Mushroom Pizza,Food ,294,16,15,0.07,Connemara Supplies,Mayo,Yes,13.14,1,30,9,148,15
Baileys Cheesecake,Dessert ,133,11,4,0.12,Claddagh Provisions,Galway,Yes,2.79,4,3,3,267,7
Margherita Pizza,Food ,105,8,20,0.08,Green Isle Distributors,Dublin,No,15.84,5,30,6,200,6
Truffle Fries,Food ,297,5,22,0.11,Emerald Foods Ltd,Cork,Yes,10.56,5,30,7,272,7
Bread Pudding,Dessert ,111,16,9,0.12,Emerald Foods Ltd,Cork,Yes,2.45,1,7,1,103,4
Irish Stew,Food ,226,17,20,0.15,Claddagh Provisions,Galway,Yes,2.5,5,7,4,21,19
Margherita Pizza,Food ,286,10,11,0.09,Connemara Supplies,Mayo,Yes,11.32,2,3,7,245,4
Heineken,Beverages,144,12,6,0.06,Connemara Supplies,Mayo,Yes,15.52,1,30,6,164,5
Whiskey,Beverages,72,21,23,0.15,Claddagh Provisions,Galway,Yes,10.86,1,3,4,298,2
Sauvignon Blanc,Beverages,33,16,15,0.02,Shannon Valley Produce,Limerick,No,11.88,6,30,2,234,0
Onion Rings,Food ,383,15,4,0.13,Emerald Foods Ltd,Cork,Yes,18.08,2,30,9,173,49
Truffle Mushroom Pizza,Food ,37,18,16,0.05,Emerald Foods Ltd,Cork,Yes,7.91,5,14,3,95,0
Garlic Parmesan Fries,Food ,42,10,25,0.07,Green Isle Distributors,Dublin,No,13.4,3,14,5,167,1
Smithwick's,Beverages,135,6,5,0.12,Shannon Valley Produce,Limerick,No,11.29,2,14,1,146,8
Craft Beer,Beverages,344,4,21,0.03,Emerald Foods Ltd,Cork,Yes,8.85,2,14,3,51,10
BBQ Chicken Pizza,Food ,133,22,25,0.06,Connemara Supplies,Mayo,Yes,1.26,3,30,6,177,5
Margherita Pizza,Food ,454,3,28,0.05,Shannon Valley Produce,Limerick,No,15.25,3,14,9,124,14
Corned Beef,Food ,343,12,14,0.08,Green Isle Distributors,Dublin,No,19.2,6,14,2,245,24
Sauvignon Blanc,Beverages,169,10,10,0.03,Claddagh Provisions,Galway,Yes,11.79,2,7,8,261,5
Onion Rings,Food ,123,22,28,0.13,Connemara Supplies,Mayo,Yes,7.41,4,7,8,154,6
Heineken,Beverages,380,19,4,0.03,Shannon Valley Produce,Limerick,No,19.01,3,30,6,169,10
Sticky Toffee Pudding,Dessert ,164,4,13,0.12,Emerald Foods Ltd,Cork,Yes,15.13,6,7,6,125,5
Potato Skins,Food ,140,5,11,0.12,Green Isle Distributors,Dublin,No,14.15,6,30,1,272,14
Irish Stew,Food ,344,17,29,0.07,Connemara Supplies,Mayo,Yes,13.3,2,7,1,28,5
Onion Rings,Food ,159,11,8,0.08,Claddagh Provisions,Galway,Yes,17.59,6,14,5,148,11
Potato Skins,Food ,353,1,20,0.14,Connemara Supplies,Mayo,Yes,18.48,5,7,7,149,37
Sauvignon Blanc,Beverages,229,13,6,0.13,Emerald Foods Ltd,Cork,Yes,9.45,5,3,3,289,7
Truffle Mushroom Pizza,Food ,389,9,16,0.1,Connemara Supplies,Mayo,Yes,11.64,1,30,7,278,23
BBQ Chicken Pizza,Food ,88,21,24,0.09,Emerald Foods Ltd,Cork,Yes,9.5,6,7,7,241,3
Boxty,Food ,209,3,14,0.05,Claddagh Provisions,Galway,Yes,12.16,5,14,2,278,4
Whiskey,Beverages,11,18,26,0.05,Emerald Foods Ltd,Cork,Yes,7.41,1,7,9,95,0
Whiskey,Beverages,423,4,3,0.09,Connemara Supplies,Mayo,Yes,12.0,3,3,3,87,11
Irish Stew,Food ,435,18,20,0.08,Claddagh Provisions,Galway,Yes,5.37,2,7,4,200,16
Baileys Cheesecake,Dessert ,494,20,28,0.08,Claddagh Provisions,Galway,Yes,13.92,5,7,9,27,29
Corned Beef,Food ,59,8,27,0.15,Connemara Supplies,Mayo,Yes,10.93,1,7,7,64,2
Pepperoni Pizza,Food ,267,6,5,0.11,Claddagh Provisions,Galway,Yes,14.65,1,14,1,74,12
Guinness,Beverages,56,16,19,0.07,Emerald Foods Ltd,Cork,Yes,18.36,2,30,5,183,0
Truffle Fries,Food ,177,14,15,0.07,Emerald Foods Ltd,Cork,Yes,9.17,2,14,1,263,10
Whiskey,Beverages,243,14,13,0.13,Green Isle Distributors,Dublin,No,1.98,3,30,6,241,10
Garlic Parmesan Fries,Food ,59,24,25,0.03,Emerald Foods Ltd,Cork,Yes,2.93,5,3,2,276,0
Baileys Cheesecake,Dessert ,238,13,28,0.04,Claddagh Provisions,Galway,Yes,10.06,2,14,7,87,2
Kilkenny,Beverages,36,21,20,0.04,Emerald Foods Ltd,Cork,Yes,6.46,2,7,1,282,0
Potato Skins,Food ,57,12,28,0.11,Claddagh Provisions,Galway,Yes,14.12,1,7,1,52,4
Corned Beef,Food ,231,13,17,0.13,Connemara Supplies,Mayo,Yes,5.81,3,3,4,150,5
Corned Beef,Food ,108,4,5,0.11,Shannon Valley Produce,Limerick,No,4.82,1,3,2,232,9
Chardonnay,Beverages,494,16,18,0.1,Emerald Foods Ltd,Cork,Yes,12.86,3,3,6,269,18
Chardonnay,Beverages,198,13,15,0.04,Connemara Supplies,Mayo,Yes,1.69,2,3,2,222,2
Irish Coffee,Beverages,364,6,16,0.01,Claddagh Provisions,Galway,Yes,17.5,5,14,4,158,2
Whiskey,Beverages,150,3,18,0.13,Emerald Foods Ltd,Cork,Yes,12.72,3,14,5,142,15
Boxty,Food ,210,5,27,0.13,Green Isle Distributors,Dublin,No,13.53,3,30,8,133,27
Irish Nachos,Food ,359,7,14,0.04,Shannon Valley Produce,Limerick,No,12.12,1,3,2,39,4
Whiskey,Beverages,238,10,28,0.14,Claddagh Provisions,Galway,Yes,17.66,4,7,5,45,32
Onion Rings,Food ,92,22,9,0.06,Claddagh Provisions,Galway,Yes,6.4,6,7,8,157,3
Baileys Cheesecake,Dessert ,195,5,15,0.11,Emerald Foods Ltd,Cork,Yes,3.34,2,7,2,147,8
Truffle Mushroom Pizza,Food ,76,12,5,0.06,Connemara Supplies,Mayo,Yes,11.45,1,30,6,109,0
Truffle Mushroom Pizza,Food ,29,10,25,0.1,Connemara Supplies,Mayo,Yes,5.91,4,3,8,108,2
Smithwick's,Beverages,453,6,12,0.04,Shannon Valley Produce,Limerick,No,14.3,4,7,3,155,18
Whiskey,Beverages,282,20,3,0.03,Emerald Foods Ltd,Cork,Yes,13.53,3,14,3,201,3
Truffle Mushroom Pizza,Food ,175,13,7,0.12,Connemara Supplies,Mayo,Yes,16.75,5,3,4,133,6
Irish Coffee,Beverages,490,14,8,0.04,Emerald Foods Ltd,Cork,Yes,6.95,3,7,4,41,5
BBQ Chicken Pizza,Food ,169,2,26,0.1,Emerald Foods Ltd,Cork,Yes,2.56,3,3,5,190,7
Garlic Parmesan Fries,Food ,387,7,28,0.09,Green Isle Distributors,Dublin,No,1.52,1,30,2,149,22
Irish Nachos,Food ,207,16,8,0.02,Emerald Foods Ltd,Cork,Yes,14.07,2,30,2,280,4
Craft Beer,Beverages,34,20,8,0.1,Green Isle Distributors,Dublin,No,11.8,2,14,2,229,2
Irish Coffee,Beverages,225,13,10,0.12,Green Isle Distributors,Dublin,No,11.89,6,14,8,94,4
Kilkenny,Beverages,351,11,27,0.11,Green Isle Distributors,Dublin,No,17.79,5,14,5,294,8
Corned Beef,Food ,17,19,20,0.06,Green Isle Distributors,Dublin,No,1.85,2,3,6,219,1
Truffle Fries,Food ,145,23,17,0.04,Shannon Valley Produce,Limerick,No,8.19,1,3,9,298,0
Smithwick's,Beverages,228,13,19,0.07,Claddagh Provisions,Galway,Yes,13.61,3,14,5,136,1
BBQ Chicken Pizza,Food ,248,3,10,0.08,Emerald Foods Ltd,Cork,Yes,4.43,2,30,3,276,11
Heineken,Beverages,229,24,6,0.06,Shannon Valley Produce,Limerick,No,16.46,6,7,8,146,9
Truffle Mushroom Pizza,Food ,220,12,21,0.14,Connemara Supplies,Mayo,Yes,13.21,2,7,4,79,15
Garlic Parmesan Fries,Food ,64,10,25,0.04,Emerald Foods Ltd,Cork,Yes,1.38,2,3,8,53,1
Shepherd's Pie,Food ,436,11,22,0.04,Connemara Supplies,Mayo,Yes,7.28,3,3,9,283,15
Onion Rings,Food ,27,11,8,0.03,Connemara Supplies,Mayo,Yes,19.1,3,7,3,91,0
Kilkenny,Beverages,68,5,22,0.08,Emerald Foods Ltd,Cork,Yes,11.79,3,30,7,81,4
Bread Pudding,Dessert ,292,23,17,0.05,Connemara Supplies,Mayo,Yes,8.86,3,14,3,186,14
Guinness,Beverages,462,1,11,0.07,Shannon Valley Produce,Limerick,No,15.76,5,14,7,116,18
Pepperoni Pizza,Food ,139,3,9,0.15,Green Isle Distributors,Dublin,No,1.13,1,30,6,221,13
Pepperoni Pizza,Food ,145,18,3,0.12,Green Isle Distributors,Dublin,No,3.8,6,7,8,126,0
Boxty,Food ,308,9,13,0.15,Claddagh Provisions,Galway,Yes,15.07,2,30,3,133,17
Baileys Cheesecake,Dessert ,460,20,16,0.08,Emerald Foods Ltd,Cork,Yes,2.34,6,3,4,248,28
Irish Nachos,Food ,352,17,5,0.03,Claddagh Provisions,Galway,Yes,17.95,3,14,7,220,6
Irish Stew,Food ,311,14,22,0.08,Connemara Supplies,Mayo,Yes,13.8,3,7,1,83,1
Onion Rings,Food ,370,15,25,0.02,Connemara Supplies,Mayo,Yes,19.07,2,30,7,166,1
Baileys Cheesecake,Dessert ,483,15,5,0.11,Emerald Foods Ltd,Cork,Yes,4.96,4,7,3,109,30
Guinness,Beverages,387,12,4,0.07,Emerald Foods Ltd,Cork,Yes,3.01,4,30,9,277,7
Sticky Toffee Pudding,Dessert ,274,21,14,0.1,Emerald Foods Ltd,Cork,Yes,14.94,4,7,2,273,21
Rioja,Beverages,83,22,14,0.11,Claddagh Provisions,Galway,Yes,19.68,3,30,9,236,3
Craft Beer,Beverages,237,8,16,0.07,Claddagh Provisions,Galway,Yes,3.51,5,14,7,24,0
Pinot Noir,Beverages,275,10,12,0.12,Emerald Foods Ltd,Cork,Yes,9.54,3,30,8,256,8
Sweet Potato Fries,Food ,298,9,13,0.11,Green Isle Distributors,Dublin,No,2.49,1,14,8,103,6
Sticky Toffee Pudding,Dessert ,315,4,3,0.13,Green Isle Distributors,Dublin,No,7.89,5,3,8,95,12
Bread Pudding,Dessert ,150,24,4,0.05,Shannon Valley Produce,Limerick,No,4.21,6,7,9,153,4
Sweet Potato Fries,Food ,58,10,13,0.07,Connemara Supplies,Mayo,Yes,2.6,1,30,6,242,1
Truffle Fries,Food ,123,1,10,0.03,Claddagh Provisions,Galway,Yes,19.64,4,7,7,107,2
Smithwick's,Beverages,81,9,14,0.04,Green Isle Distributors,Dublin,No,12.12,4,30,9,30,2
Potato Skins,Food ,466,4,6,0.03,Shannon Valley Produce,Limerick,No,17.82,1,7,7,203,11
Rioja,Beverages,478,20,7,0.06,Green Isle Distributors,Dublin,No,7.85,5,30,5,210,4
Irish Nachos,Food ,114,16,18,0.05,Emerald Foods Ltd,Cork,Yes,9.65,5,30,8,84,0
Sauvignon Blanc,Beverages,312,19,23,0.05,Shannon Valley Produce,Limerick,No,10.3,1,3,7,216,4
Heineken,Beverages,117,13,23,0.13,Shannon Valley Produce,Limerick,No,15.33,1,7,4,77,3
Craft Beer,Beverages,148,10,14,0.07,Claddagh Provisions,Galway,Yes,4.55,4,14,9,272,10
Whiskey,Beverages,411,1,11,0.14,Shannon Valley Produce,Limerick,No,12.76,5,3,3,166,28
Sticky Toffee Pudding,Dessert ,245,9,6,0.04,Connemara Supplies,Mayo,Yes,19.76,6,7,3,11,9
Whiskey,Beverages,317,13,14,0.09,Emerald Foods Ltd,Cork,Yes,9.2,3,7,8,113,7
Boxty,Food ,46,14,10,0.09,Claddagh Provisions,Galway,Yes,16.26,2,14,5,223,3
Truffle Fries,Food ,119,19,23,0.11,Claddagh Provisions,Galway,Yes,17.41,5,7,7,94,10
Garlic Parmesan Fries,Food ,241,3,4,0.03,Connemara Supplies,Mayo,Yes,8.05,3,3,5,256,4
Spicy Wedges,Food ,52,13,22,0.14,Claddagh Provisions,Galway,Yes,17.89,5,14,4,256,5
Rioja,Beverages,357,14,5,0.07,Connemara Supplies,Mayo,Yes,7.64,4,30,1,109,12
Irish Nachos,Food ,163,19,23,0.09,Emerald Foods Ltd,Cork,Yes,18.68,1,14,1,157,13
BBQ Chicken Pizza,Food ,417,7,21,0.15,Connemara Supplies,Mayo,Yes,11.58,5,14,1,270,59
Pepperoni Pizza,Food ,43,16,17,0.02,Emerald Foods Ltd,Cork,Yes,18.4,3,14,4,264,0
Truffle Fries,Food ,497,1,3,0.02,Emerald Foods Ltd,Cork,Yes,7.4,5,14,3,203,2
Whiskey,Beverages,186,17,10,0.11,Connemara Supplies,Mayo,Yes,7.32,1,30,3,133,16
Whiskey,Beverages,408,7,25,0.13,Connemara Supplies,Mayo,Yes,1.33,3,3,5,111,22
Onion Rings,Food ,134,20,19,0.05,Emerald Foods Ltd,Cork,Yes,3.81,6,3,3,215,2
Spicy Wedges,Food ,375,15,19,0.08,Emerald Foods Ltd,Cork,Yes,10.01,4,3,6,55,8
Spicy Wedges,Food ,280,14,3,0.05,Green Isle Distributors,Dublin,No,17.65,1,3,4,196,8
Potato Skins,Food ,490,16,9,0.01,Emerald Foods Ltd,Cork,Yes,18.67,5,3,4,132,0
Kilkenny,Beverages,43,7,4,0.1,Green Isle Distributors,Dublin,No,4.72,3,30,6,10,2
Pinot Noir,Beverages,226,16,19,0.03,Green Isle Distributors,Dublin,No,1.08,6,30,2,193,2
Irish Stew,Food ,445,19,10,0.01,Claddagh Provisions,Galway,Yes,1.42,3,14,3,12,4
Sweet Potato Fries,Food ,262,6,7,0.04,Connemara Supplies,Mayo,Yes,5.6,6,14,5,103,1
Onion Rings,Food ,374,18,22,0.04,Connemara Supplies,Mayo,Yes,15.77,5,3,3,24,9
BBQ Chicken Pizza,Food ,33,11,3,0.08,Shannon Valley Produce,Limerick,No,10.54,4,14,8,233,2
Irish Nachos,Food ,427,13,16,0.08,Green Isle Distributors,Dublin,No,10.65,1,14,7,179,15
Bread Pudding,Dessert ,159,14,10,0.11,Shannon Valley Produce,Limerick,No,11.56,4,14,8,262,6
Guinness,Beverages,262,4,12,0.14,Claddagh Provisions,Galway,Yes,1.5,6,3,4,293,29
Whiskey,Beverages,249,10,20,0.1,Claddagh Provisions,Galway,Yes,19.89,5,7,6,102,21
Boxty,Food ,199,16,3,0.15,Emerald Foods Ltd,Cork,Yes,11.09,2,14,9,190,16
Sticky Toffee Pudding,Dessert ,171,22,23,0.02,Connemara Supplies,Mayo,Yes,2.58,1,3,8,56,0
Shepherd's Pie,Food ,467,15,15,0.01,Emerald Foods Ltd,Cork,Yes,7.03,3,7,4,283,2
Potato Skins,Food ,320,23,22,0.12,Emerald Foods Ltd,Cork,Yes,13.27,3,30,8,154,7
Bread Pudding,Dessert ,489,7,18,0.07,Connemara Supplies,Mayo,Yes,7.03,6,7,7,142,12
Truffle Mushroom Pizza,Food ,27,8,14,0.02,Shannon Valley Produce,Limerick,No,2.31,5,3,8,271,0
Onion Rings,Food ,366,15,4,0.05,Green Isle Distributors,Dublin,No,1.53,5,30,4,15,0
Irish Stew,Food ,113,19,14,0.12,Shannon Valley Produce,Limerick,No,11.22,4,3,4,289,2
Chardonnay,Beverages,179,6,22,0.04,Emerald Foods Ltd,Cork,Yes,4.26,5,7,6,41,7
Corned Beef,Food ,222,5,13,0.1,Claddagh Provisions,Galway,Yes,3.97,5,30,2,116,9
Shepherd's Pie,Food ,361,14,9,0.07,Shannon Valley Produce,Limerick,No,2.32,5,14,2,247,20
Truffle Fries,Food ,271,21,12,0.03,Green Isle Distributors,Dublin,No,3.74,4,30,8,116,2
Truffle Fries,Food ,182,19,18,0.11,Green Isle Distributors,Dublin,No,8.07,2,3,6,176,15
Irish Stew,Food ,257,1,8,0.13,Claddagh Provisions,Galway,Yes,3.03,5,7,6,45,22
Sauvignon Blanc,Beverages,42,22,16,0.13,Shannon Valley Produce,Limerick,No,18.73,1,7,9,179,3
Onion Rings,Food ,145,3,9,0.04,Shannon Valley Produce,Limerick,No,8.56,2,7,7,245,4
Pepperoni Pizza,Food ,479,9,12,0.07,Claddagh Provisions,Galway,Yes,6.34,6,30,4,93,8
Guinness,Beverages,455,21,6,0.11,Emerald Foods Ltd,Cork,Yes,7.25,1,14,4,40,35
Corned Beef,Food ,273,6,9,0.08,Shannon Valley Produce,Limerick,No,5.5,6,14,9,263,9
Smithwick's,Beverages,285,17,15,0.13,Shannon Valley Produce,Limerick,No,13.23,5,3,8,141,37
Bread Pudding,Dessert ,283,22,7,0.04,Green Isle Distributors,Dublin,No,1.51,5,30,5,117,1
Garlic Parmesan Fries,Food ,469,16,7,0.09,Claddagh Provisions,Galway,Yes,14.6,4,14,8,132,9
Shepherd's Pie,Food ,244,3,16,0.05,Connemara Supplies,Mayo,Yes,10.47,1,3,5,237,11
Heineken,Beverages,10,4,18,0.04,Claddagh Provisions,Galway,Yes,19.46,6,14,9,51,0
Whiskey,Beverages,137,21,17,0.15,Connemara Supplies,Mayo,Yes,14.92,1,30,7,137,15
BBQ Chicken Pizza,Food ,54,2,17,0.02,Green Isle Distributors,Dublin,No,5.06,4,7,8,202,1
Sauvignon Blanc,Beverages,390,24,22,0.13,Green Isle Distributors,Dublin,No,7.25,1,30,7,153,18
Baileys Cheesecake,Dessert ,193,16,11,0.09,Claddagh Provisions,Galway,Yes,8.08,5,3,1,53,16
Pinot Noir,Beverages,165,21,29,0.05,Green Isle Distributors,Dublin,No,12.09,4,7,1,138,4
Smithwick's,Beverages,119,1,3,0.05,Claddagh Provisions,Galway,Yes,13.29,3,3,2,134,5
Baileys Cheesecake,Dessert ,326,23,26,0.06,Claddagh Provisions,Galway,Yes,5.33,1,7,6,167,1
Spicy Wedges,Food ,419,9,20,0.11,Green Isle Distributors,Dublin,No,1.84,4,30,6,95,13
Sauvignon Blanc,Beverages,479,4,10,0.1,Claddagh Provisions,Galway,Yes,17.5,5,14,6,258,18
Smithwick's,Beverages,238,11,5,0.08,Green Isle Distributors,Dublin,No,6.89,4,3,7,30,7
Baileys Cheesecake,Dessert ,191,22,13,0.04,Claddagh Provisions,Galway,Yes,1.09,1,3,6,18,7
Shepherd's Pie,Food ,423,4,6,0.07,Claddagh Provisions,Galway,Yes,4.23,2,14,8,242,10
Sweet Potato Fries,Food ,363,4,17,0.06,Green Isle Distributors,Dublin,No,12.45,2,7,8,77,0
Irish Nachos,Food ,71,21,22,0.05,Claddagh Provisions,Galway,Yes,9.94,5,7,4,208,3
BBQ Chicken Pizza,Food ,28,3,28,0.07,Claddagh Provisions,Galway,Yes,10.25,6,7,7,118,0
Baileys Cheesecake,Dessert ,389,18,4,0.08,Connemara Supplies,Mayo,Yes,19.02,5,14,9,154,18
Potato Skins,Food ,476,12,4,0.05,Connemara Supplies,Mayo,Yes,2.96,1,30,7,262,14
Baileys Cheesecake,Dessert ,110,24,24,0.12,Shannon Valley Produce,Limerick,No,7.14,5,30,9,198,9
Whiskey,Beverages,455,3,23,0.09,Connemara Supplies,Mayo,Yes,16.45,1,7,4,222,32
Irish Coffee,Beverages,309,21,24,0.14,Emerald Foods Ltd,Cork,Yes,6.03,2,14,5,234,20
BBQ Chicken Pizza,Food ,253,17,29,0.08,Green Isle Distributors,Dublin,No,13.92,6,7,6,201,4
Irish Nachos,Food ,337,17,3,0.06,Connemara Supplies,Mayo,Yes,10.97,4,14,7,254,11
Irish Coffee,Beverages,240,10,17,0.11,Claddagh Provisions,Galway,Yes,13.7,6,30,7,208,16
BBQ Chicken Pizza,Food ,395,7,6,0.03,Connemara Supplies,Mayo,Yes,18.08,4,7,7,161,3
Boxty,Food ,354,8,12,0.13,Claddagh Provisions,Galway,Yes,14.45,3,3,5,34,15
Pinot Noir,Beverages,473,11,3,0.02,Shannon Valley Produce,Limerick,No,9.22,5,30,6,163,6
Shepherd's Pie,Food ,15,22,3,0.09,Emerald Foods Ltd,Cork,Yes,17.96,3,14,1,123,1
Shepherd's Pie,Food ,173,6,24,0.1,Shannon Valley Produce,Limerick,No,19.51,2,14,5,100,13
Chardonnay,Beverages,73,9,7,0.13,Shannon Valley Produce,Limerick,No,7.66,4,3,9,174,7
Irish Coffee,Beverages,189,14,8,0.11,Claddagh Provisions,Galway,Yes,7.48,5,30,2,235,2
Shepherd's Pie,Food ,239,2,21,0.03,Connemara Supplies,Mayo,Yes,6.33,2,7,2,98,0
Garlic Parmesan Fries,Food ,91,24,16,0.13,Claddagh Provisions,Galway,Yes,1.88,2,14,1,116,5
Sticky Toffee Pudding,Dessert ,371,24,29,0.09,Claddagh Provisions,Galway,Yes,7.4,2,30,2,26,20
Corned Beef,Food ,242,18,10,0.06,Claddagh Provisions,Galway,Yes,15.69,3,30,4,249,5
Pinot Noir,Beverages,374,7,15,0.07,Green Isle Distributors,Dublin,No,7.84,5,3,5,145,9
Guinness,Beverages,439,22,9,0.1,Connemara Supplies,Mayo,Yes,5.9,2,3,3,232,8
Baileys Cheesecake,Dessert ,17,12,20,0.12,Claddagh Provisions,Galway,Yes,8.16,3,14,8,119,0
Pinot Noir,Beverages,398,9,16,0.02,Emerald Foods Ltd,Cork,Yes,5.56,4,3,3,46,5
Sweet Potato Fries,Food ,482,18,4,0.06,Connemara Supplies,Mayo,Yes,18.84,3,3,1,281,20
Onion Rings,Food ,212,21,14,0.02,Connemara Supplies,Mayo,Yes,5.13,3,30,6,166,0
Corned Beef,Food ,91,21,8,0.04,Emerald Foods Ltd,Cork,Yes,8.86,5,30,4,140,2
Irish Stew,Food ,420,17,22,0.06,Emerald Foods Ltd,Cork,Yes,14.78,4,7,5,72,19
Potato Skins,Food ,284,3,14,0.13,Green Isle Distributors,Dublin,No,16.49,2,30,1,294,34
Shepherd's Pie,Food ,282,3,19,0.12,Shannon Valley Produce,Limerick,No,11.82,4,30,4,184,31
Shepherd's Pie,Food ,454,4,26,0.03,Green Isle Distributors,Dublin,No,10.37,2,30,2,154,9
Smithwick's,Beverages,439,11,11,0.13,Shannon Valley Produce,Limerick,No,8.66,5,14,5,76,16
Whiskey,Beverages,168,12,26,0.06,Claddagh Provisions,Galway,Yes,8.65,3,14,9,89,6
Rioja,Beverages,197,4,5,0.04,Emerald Foods Ltd,Cork,Yes,4.88,1,14,9,251,6
Irish Stew,Food ,314,5,22,0.05,Green Isle Distributors,Dublin,No,13.93,3,3,8,201,13
Margherita Pizza,Food ,410,24,20,0.07,Claddagh Provisions,Galway,Yes,18.57,6,30,6,296,17
Sticky Toffee Pudding,Dessert ,104,6,6,0.06,Green Isle Distributors,Dublin,No,12.44,1,7,6,218,4
Whiskey,Beverages,184,16,24,0.01,Green Isle Distributors,Dublin,No,14.51,4,3,3,32,0
Garlic Parmesan Fries,Food ,272,6,14,0.07,Claddagh Provisions,Galway,Yes,16.38,2,14,9,49,6
Heineken,Beverages,174,20,21,0.13,Shannon Valley Produce,Limerick,No,2.43,3,7,6,152,14
Onion Rings,Food ,379,24,29,0.13,Emerald Foods Ltd,Cork,Yes,9.23,5,30,7,179,4
Shepherd's Pie,Food ,195,9,23,0.07,Green Isle Distributors,Dublin,No,19.31,5,7,2,220,1
Truffle Mushroom Pizza,Food ,183,10,8,0.12,Claddagh Provisions,Galway,Yes,3.14,5,3,4,188,14
Kilkenny,Beverages,348,18,8,0.06,Connemara Supplies,Mayo,Yes,1.32,3,3,9,272,15
Potato Skins,Food ,452,7,11,0.13,Emerald Foods Ltd,Cork,Yes,14.0,6,14,3,84,34
Craft Beer,Beverages,196,14,21,0.08,Shannon Valley Produce,Limerick,No,18.98,5,30,9,199,0
Baileys Cheesecake,Dessert ,395,10,21,0.1,Shannon Valley Produce,Limerick,No,11.11,3,7,9,180,38
Truffle Fries,Food ,341,7,26,0.07,Emerald Foods Ltd,Cork,Yes,18.34,2,3,3,265,14
Pepperoni Pizza,Food ,190,8,9,0.13,Emerald Foods Ltd,Cork,Yes,12.75,3,30,4,75,2
Rioja,Beverages,407,8,28,0.14,Green Isle Distributors,Dublin,No,18.66,1,7,5,109,32
Baileys Cheesecake,Dessert ,148,20,18,0.05,Emerald Foods Ltd,Cork,Yes,2.98,2,3,6,42,6
Sweet Potato Fries,Food ,458,20,20,0.07,Emerald Foods Ltd,Cork,Yes,10.89,5,3,6,285,12
Truffle Mushroom Pizza,Food ,107,12,8,0.08,Emerald Foods Ltd,Cork,Yes,6.99,2,14,4,249,8
Truffle Mushroom Pizza,Food ,272,12,5,0.12,Emerald Foods Ltd,Cork,Yes,9.7,1,14,4,121,7
Garlic Parmesan Fries,Food ,361,12,7,0.08,Green Isle Distributors,Dublin,No,12.86,1,14,9,128,6
Truffle Fries,Food ,149,18,21,0.12,Green Isle Distributors,Dublin,No,3.15,6,14,6,35,1
Truffle Mushroom Pizza,Food ,209,17,25,0.08,Connemara Supplies,Mayo,Yes,10.09,3,30,5,115,4
Craft Beer,Beverages,88,13,17,0.07,Connemara Supplies,Mayo,Yes,9.49,2,7,1,20,0
Corned Beef,Food ,90,13,26,0.07,Green Isle Distributors,Dublin,No,16.42,5,30,4,32,5
Whiskey,Beverages,388,5,8,0.05,Claddagh Provisions,Galway,Yes,10.26,2,14,9,30,0
Spicy Wedges,Food ,471,4,10,0.02,Emerald Foods Ltd,Cork,Yes,12.77,5,30,3,202,7
Pepperoni Pizza,Food ,99,1,21,0.15,Emerald Foods Ltd,Cork,Yes,2.4,6,7,4,176,2
Margherita Pizza,Food ,136,17,10,0.11,Shannon Valley Produce,Limerick,No,19.32,3,14,1,222,9
Onion Rings,Food ,246,18,19,0.13,Connemara Supplies,Mayo,Yes,14.39,2,30,6,90,10
Heineken,Beverages,94,23,20,0.1,Green Isle Distributors,Dublin,No,9.13,4,30,3,18,5
Irish Coffee,Beverages,186,10,25,0.06,Connemara Supplies,Mayo,Yes,2.49,3,30,4,57,3
Kilkenny,Beverages,207,20,26,0.14,Shannon Valley Produce,Limerick,No,3.43,5,30,7,118,26
Craft Beer,Beverages,435,2,7,0.04,Emerald Foods Ltd,Cork,Yes,7.69,3,30,9,294,13
Truffle Fries,Food ,45,23,19,0.03,Green Isle Distributors,Dublin,No,1.5,3,7,7,138,1
Kilkenny,Beverages,375,14,17,0.05,Green Isle Distributors,Dublin,No,2.53,6,30,4,64,7
Pinot Noir,Beverages,187,19,6,0.08,Green Isle Distributors,Dublin,No,18.23,4,3,9,198,1
Kilkenny,Beverages,381,22,4,0.09,Green Isle Distributors,Dublin,No,5.95,5,14,1,257,20
BBQ Chicken Pizza,Food ,443,21,14,0.08,Green Isle Distributors,Dublin,No,1.25,3,30,7,119,18
Kilkenny,Beverages,253,16,17,0.07,Connemara Supplies,Mayo,Yes,15.78,5,30,1,189,13
